property_type,neighborhood,address,room_num,floor,total_floors,area,days_to_enter,num_of_payments,monthly_arnona,building_tax,description,is_furnished,has_bars,ac,has_parking,has_safe_room,has_balcony,handicap,elevator,has_storage,is_renovated,price,num_of_images,distance_from_center,garden_area
דירה,נאות אפקה א,קהילת פאדובה,3.0,8.0,15.0,90,0.0,12.0,600.0,1400.0,"בפרויקט גולף נאות אפקה בניין חדש  שומר וחדר כושר דירת 3 חדרים 75 + 15 מ""ר מרפסת שמש לדרום מערב. חדר מאסטר הורים ממ""ד וסלון. מחסן וחניה מקורה. פרקטים הכל הדירה תנור וכיריים",0,0,1,1,1,1,1,1,1,1,9500.0,7,8030.0,
דירה,נאות אפקה א,קהילת פאדובה 19,3.0,4.0,4.0,65,0.0,12.0,720.0,160.0,דירת 3 חדרים שמורה מאוד.  מיזזוג בכל החדרים.  מתאים לשותפים,0,1,1,0,0,0,0,1,0,1,5500.0,5,8063.0,
דירה,נאות אפקה א,קהילת פאדובה 4,3.5,2.0,6.0,100,0.0,12.0,1200.0,357.0,"להשכרה !! מחיר: 8500 ש""ח רחוב: קהילת פאדובה אזור נאות אפקה א' דירה של  3.5  חדרים,כ - 100  מטר,סלון עם מטבח פתוח.יציאה למרפסת שמש של  12 מטר שרותים וקלחות כפולים. בניין חדש,עם קודן. נוף פתוח. חניה פרטית,מעלית,ומחסן. כניסה מידית.",0,0,1,1,1,1,0,1,0,1,8500.0,4,7940.0,
דירה,נאות אפקה א,בני אפרים 22,5.0,3.0,3.0,80,0.0,12.0,700.0,120.0,"דירת 5 חדר (חדר אחד משמש כמחסן כרגע) לאחר שיפוץ+ מזגנים חדשים,שרותים כפולים.",0,0,1,1,0,0,0,0,0,1,7750.0,0,7376.0,
דירה,נאות אפקה א,קהילת פאדובה 4,3.5,2.0,9.0,100,0.0,12.0,1200.0,357.0,"להשכרה !! מחיר: 8500 ש""ח רחוב: קהילת פאדובה אזור הדר יוסף דירה של  3.5  חדרים,כ - 100  מטר,סלון עם מטבח פתוח.יציאה למרפסת שמש  של  12 מטר שרותים וקלחות כפולים. בניין חדש,עם קודן. נוף פתוח. חניה פרטית,מעלית,ומחסן. כניסה מידית.",0,0,1,1,1,1,0,1,1,1,8500.0,5,7940.0,
דירה,פארק צמרת,ניסים אלוני 4,4.0,7.0,44.0,99,,12.0,,2300.0,"דירה שקטה מוארת ומפנקת במגדלי W Prime בפארק צמרת, הכוללים לובי עם שומר 24/7, בריכה וחדר כושר. מיקום מושלם, קרוב לכיכר המדינה, לאיילון, לרכבת ולרכבת הקלה. גני ילדים ובית ספר בשכונה",0,0,1,1,1,1,1,1,1,0,12500.0,9,3126.0,
דירה,פארק צמרת,ניסים אלוני 21,4.0,,,140,0.0,12.0,,,"השכרה, דירה, קומה 22, תל אביב יפו קומה גבוהה נוף פתוח דירה בסטנדרט מאוד גבוהה ארונות קיר בכל החדרים  נשארת מרוהטת קומפלט",1,0,1,1,1,1,1,1,1,1,19500.0,10,3571.0,
דירה,פארק צמרת,ניסים אלוני 17,4.5,3.0,40.0,140,0.0,12.0,,,"במגדל מנהטן המבוקש,4.5 חד' (כולל סלון) צפון מערבית, מקסימה ומוארת. במגדל בריכה, חדר כושר, חדר דיירים, שומר בלובי 24/7.  In Manhattan tower, 4.5 rooms (inc. living room),  beautiful and full of light, in the building - pool, gym guard 24/7",1,0,1,1,1,1,1,1,0,1,13600.0,5,3720.0,
דירה,פארק צמרת,ניסים אלוני,3.0,0.0,49.0,104,0.0,4.0,,,"3 חדרים מושלמת עם סלון מרווח ונוף עוצר נשימה במגדל הכי יפה בתל אביב- מגדל רום אוכלס לפני כשנתיים וממוקם בשכונת פארק צמרת היוקרתית. הפרויקט מציע לדייריו חיי מותרות עם מתחם פרטי בו לובי מפואר הכולל שמירה 24/7, טראקלין עסקים ויצאיה שטח ירוק מרווח עם מיטות שיזוף ופינות רביצה, ובו 2 בריכות, בריכת פעוטות, חדר כושר עצום, סאונות וחדרי טיפולים. ערבויות נדרשות ביקורים בנכס נוחים. בואו לגור בחלום התל אביבי!",0,0,1,1,1,1,0,1,1,1,15000.0,8,3258.0,
דירה,פארק צמרת,ניסים אלוני 3,3.5,19.0,30.0,133,,12.0,,2300.0,"בבלעדיות משרד התיווך! במגדלי הברונזה המבוקשים בפארק צמרת! דירת 3.5 חדרים , 117 מ""ר נטו + מרפסת 16 מ""ר מרפסת. קומה 19 נוף עוצר נשימה לים! 2 סוויטות הורים כל אחת עם שירותים ומקלחת פרטיים, סוויטה אחת גם עם חדר ארונות/ חדר עבודה הדירה מגיעה עם 2 חניות ומחסן. בריכת שחייה חיצונית חצי אולימפית, חדר כושר מאובזר, מתחם ספא הכולל סאונה רטובה, סאונה יבשה, ג'קוזי, חדר טיפולים, שומר 24/7 ועוד",0,0,1,1,1,1,1,1,1,1,13500.0,7,3166.0,
דירה,פארק צמרת,ניסים אלוני,3.0,0.0,46.0,96,,12.0,,,"להשכרה בפארק צמרת ת""א. 3 חדרים . מתוכם חדר מאסטר.  84 מ""ר + 12 מ״ר מרפסת. קומה גבוהה.  פונה למזרח, נוף פתוח אורבני.  חנייה ומחסן. במגדל שירותי שמירה 24/7, חניון, חדר כושר, בריכה, ספא ומועדון דיירים. מרחק הליכה ממוקדי בילוי, קניון G  והרכבת הקלה",0,0,1,1,1,1,1,1,1,1,11500.0,9,3258.0,
דירה,פארק צמרת,ניסים אלוני 2,3.0,20.0,50.0,94,,12.0,,1800.0,"במגדל רום החדש והמבוקש בשכונת צמרת היוקרתית!  דירת 3 חדרים, 83 מ""ר נטו פלוס מרפסת 11 מ""ר. המטבח מאובזר בכל מוצרי החשמל. בדירה מכונת כביסה, מייבש, ארון בגדים. הדירה מגיעה עם חניה פרטית. במגדל: שומר 24/7, חד""כ מאובזר, מתחם ספא, מועדון דיירים, בריכה חיצונית מערבית חצי אולימפית ועוד",0,0,1,1,1,1,1,1,0,1,11500.0,7,3075.0,
דירה,פארק צמרת,ניסים אלוני 20,3.5,14.0,30.0,145,0.0,12.0,,,"להשכרה במגדלי YOO היוקרתיים מוצעת להשכרה, דירת פרימיום 3.5 חדרים כ130 מטר ומרפסת שמש מפנקת 14 מטר 2 חניות רגילות. בבניין עצמו תוכלו להנות ממגוון שרותים שהמגדל מציע.  שומר 24/7 חדר כושר בריכת שחיה לאונג' לפגישות עסקים. יציאות מהירות לאילון צפון/ודרום  קרוב לכל מה שטוב  כניסה מידית",1,0,1,1,1,1,1,1,0,1,10500.0,9,3601.0,
דירה,פארק צמרת,ניסים אלוני,4.0,10.0,30.0,250,,12.0,2000.0,4000.0,"להשכרה בפארק צמרת דירת 4 חדרים מושלמת 150 מ""ר + 100 מ""ר מרפסות  רמה גבוהה  שתי חניות ומחסן בטאבו  כניסה מיידית",0,0,1,1,1,1,1,1,1,1,14500.0,9,3258.0,
